AV18:BO31
t-i,x1,x2,x3,x4,x5,x6,s1,s2,s3,s4,s5,s6,s7,e1,s8,s9,e2,s10,rhs
z,0,0,0,0.6,0,0,0.4,0,0,0.6,0,0,0,2,0,2.4,0.2,,12
1,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,,1
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,0
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,1
4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,,1
7,0,0,0,1.4,0,1,0.1,0,0,-0.6,0,0,0,1,0,1.1,0.8,,0.5
8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1
9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0
11,0,0,0,-1.4,0,0,-0.1,0,0,0.6,0,0,1,-1,0,-1.1,-0.8,,0.5
12,0,0,0,-1.4,0,0,-0.1,0,0,0.6,0,0,0,-1,0,-1.1,-0.8,1,-0.5

AV34:BO47
t-1,x1,x2,x3,x4,x5,x6,s1,s2,s3,s4,s5,s6,s7,e1,s8,s9,e2,s10,rhs
z,0,0,0,0,0,0,0.357142857,0,0,0.857142857,0,0,0,1.571428571,0,1.928571429,-0.142857143,0.428571429,11.78571429
1,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1
4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1
7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8,0,0,0,0,0,0,-0.071428571,0,0,0.428571429,1,0,0,-0.714285714,0,-0.785714286,-0.571428571,0.714285714,0.642857143
9,0,0,0,0,0,0,-0.071428571,0,0,0.428571429,0,0,0,-0.714285714,1,-0.785714286,-0.571428571,0.714285714,-0.357142857
10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1
12,0,0,0,1,0,0,0.071428571,0,0,-0.428571429,0,0,0,0.714285714,0,0.785714286,0.571428571,-0.714285714,0.357142857
